ORCHIDS,TRANSPORT_FEES,EXPORT_TARIFF,IMPORT_TARIFF,SUNLIGHT,HUMIDITY,sunlight_d1,sunlight_d2,sunlight_d3,humidity_d1,humidity_d2,humidity_d3,time_of_day,sun_gt_2500,sun_lt_2500,hum_out_bounds,hum_in_bounds,hum_gt_70,hum_lt_70,arbitrage,avg_sun,avg_hum,total_sunlight,sun_time_under_2500,sun_time_over_2500
1098.25,0.9,10.5,-5.0,2100.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,1,0,4.1,2100.0,70.0,2.520000100800004,1,0
1098.25,0.9,9.5,-5.0,2099.757,70.02271,-0.24299999999993815,0.0,0.0,0.02271000000000356,0.0,0.0,1,0,1,0,1,1,0,4.1,2099.8785,70.01135500000001,5.0397086015883445,2,0
1096.75,0.9,9.5,-5.0,2099.5132,70.045395,-0.24380000000019209,-0.0008000000002539309,0.0,0.022684999999995625,-2.500000000793534e-05,0.0,2,0,1,0,1,1,0,4.1,2099.756733333333,70.02270166666666,7.559124542364982,3,0
1097.0,0.9,9.5,-5.0,2099.2683,70.06803,-0.2448999999996886,-0.0010999999994965037,-0.0002999999992425728,0.022634999999993966,-5.000000000165983e-05,-2.4999999993724487e-05,3,0,1,0,1,1,0,4.1,2099.634625,70.03403374999999,10.078246603129864,4,0
1097.25,0.9,9.5,-5.0,2099.0225,70.09064,-0.2458000000001448,-0.0009000000004562025,0.0001999999990403012,0.02261000000000024,-2.4999999993724487e-05,2.500000000793534e-05,4,0,1,0,1,1,0,4.1,2099.5122,70.045355,12.597073703882948,5,0
1097.75,0.9,9.5,-5.0,2098.7756,70.1132,-0.24690000000009604,-0.001099999999951251,-0.00019999999949504854,0.022560000000012792,-4.999999998744897e-05,-2.4999999993724487e-05,5,0,1,0,1,1,0,4.1,2099.3894333333333,70.0566625,15.115604524624182,6,0
1097.25,0.9,9.5,-5.0,2098.528,70.13572,-0.2476000000001477,-0.0007000000000516593,0.0003999999998995918,0.022520000000000095,-4.0000000012696546e-05,9.999999974752427e-06,6,0,1,0,1,1,0,4.1,2099.2663714285713,70.06795642857142,17.63383822535353,7,0
1097.25,0.9,9.5,-5.0,2098.2795,70.15821,-0.2484999999996944,-0.0008999999995467078,-0.00019999999949504854,0.022489999999990573,-3.000000000952241e-05,1.0000000003174137e-05,7,0,1,0,1,1,0,4.1,2099.1430125,70.079238125,20.15177372607095,8,0
1096.75,0.9,9.5,-5.0,2098.03,70.18066,-0.24949999999989814,-0.0010000000002037268,-0.00010000000065701897,0.022450000000006298,-3.9999999984274837e-05,-9.999999974752427e-06,8,0,1,0,1,1,0,4.1,2099.0193444444444,70.09050722222223,22.669409826776395,9,0
1097.25,0.9,9.5,-5.0,2097.7795,70.20307,-0.25050000000010186,-0.0010000000002037268,0.0,0.0224099999999936,-4.0000000012696546e-05,-2.842170943040401e-14,9,0,1,0,1,1,0,4.1,2098.89536,70.1017635,25.186745327469815,10,0
1097.5,0.9,9.5,-5.0,2097.528,70.22544,-0.2515000000003056,-0.0010000000002037268,0.0,0.022370000000009327,-3.9999999984274837e-05,2.842170943040401e-14,10,0,1,0,1,1,0,4.1,2098.7710545454543,70.11300681818182,27.70377902815116,11,0
1096.25,0.9,9.5,-5.0,2097.276,70.24778,-0.2519999999999527,-0.0004999999996471161,0.0005000000005566108,0.022339999999999804,-3.000000000952241e-05,9.999999974752427e-06,11,0,1,0,1,1,0,4.1,2098.6464666666666,70.12423791666667,30.220510328820414,12,0
1098.25,0.9,9.5,-5.0,2097.0225,70.27007,-0.25349999999980355,-0.0014999999998508429,-0.0010000000002037268,0.022289999999998145,-5.000000000165983e-05,-1.9999999992137418e-05,12,0,1,0,1,1,0,4.1,2098.521546153846,70.13545576923077,32.7369374294775,13,0
1097.75,0.9,9.5,-5.0,2096.7683,70.292336,-0.2541999999998552,-0.0007000000000516593,0.0007999999997991836,0.022266000000001895,-2.3999999996249244e-05,2.6000000005410584e-05,13,0,1,0,1,1,0,4.1,2098.396314285714,70.14666150000001,35.25305949012238,14,0
1098.75,0.9,9.5,-5.0,2096.5132,70.31456,-0.2551000000003114,-0.0009000000004562025,-0.00020000000040454324,0.02222399999999425,-4.200000000764703e-05,-1.8000000011397788e-05,14,0,1,0,1,1,0,4.1,2098.270773333333,70.15785473333334,37.76887543075502,15,0
1097.75,0.9,9.5,-5.0,2096.2573,70.33675,-0.25589999999965585,-0.0007999999993444362,0.00010000000111176632,0.022189999999994825,-3.399999999942338e-05,8.000000008223651e-06,15,0,1,0,1,1,0,4.1,2098.14493125,70.1690356875,40.284384291375375,16,0
1098.25,0.9,9.5,-5.0,2096.0005,70.358894,-0.25680000000011205,-0.0009000000004562025,-0.00010000000111176632,0.022144000000011488,-4.599999998333715e-05,-1.1999999983913767e-05,16,0,1,0,1,1,0,4.1,2098.0187882352943,70.18020382352941,42.7995849919834,17,0
1098.75,0.9,9.5,-5.0,2095.7424,70.381004,-0.2581000000000131,-0.001299999999901047,-0.00039999999944484443,0.022109999999997854,-3.4000000013634235e-05,1.1999999969702912e-05,17,0,1,0,1,1,0,4.1,2097.8923222222224,70.19135938888888,45.31447597257904,18,0
1098.75,0.9,9.5,-5.0,2095.484,70.403076,-0.25840000000016516,-0.0003000000001520675,0.0009999999997489795,0.02207199999999432,-3.8000000003535206e-05,-3.999999989900971e-06,18,0,1,0,1,1,0,4.1,2097.7655684210526,70.20250236842105,47.82905687316227,19,0
1100.75,0.9,9.5,-5.0,2095.224,70.42511,-0.25999999999976353,-0.0015999999995983671,-0.0012999999994462996,0.022034000000004994,-3.799999998932435e-05,1.4210854715202004e-14,19,0,1,0,1,1,0,4.1,2097.6384900000003,70.21363275,50.34332577373303,20,0
1100.75,0.9,9.5,-5.0,2094.9636,70.44711,-0.26040000000011787,-0.00040000000035433914,0.001199999999244028,0.02199999999999136,-3.4000000013634235e-05,3.999999975690116e-06,20,0,1,0,1,1,0,4.1,2097.511114285714,70.22475071428572,52.85728219429129,21,0
1100.75,0.9,9.5,-5.0,2094.7021,70.46907,-0.2615000000000691,-0.001099999999951251,-0.000699999999596912,0.021960000000007085,-3.9999999984274837e-05,-5.9999999706406015e-06,21,0,1,0,1,1,0,4.1,2097.3834318181816,70.23585613636364,55.370924814837,22,0
1101.75,0.9,9.5,-5.0,2094.4397,70.491,-0.2624000000000706,-0.0009000000000014552,0.0001999999999497959,0.021929999999997563,-3.000000000952241e-05,9.999999974752427e-06,22,0,1,0,1,1,0,4.1,2097.255443478261,70.24694934782609,57.884252555370104,23,0
1102.75,0.9,9.5,-5.0,2094.1765,70.512886,-0.26319999999986976,-0.0007999999997991836,0.00010000000020227162,0.021885999999994965,-4.400000000259752e-05,-1.3999999993075107e-05,23,0,1,0,1,1,0,4.1,2097.127154166667,70.25803004166667,60.39726445589058,24,0
